"original_text","normalize_text","language","category","flag","last_update","remark"
"dosm","Department of Statistics Malaysia","Malay","VOC_EDITOR","1","2018-04-26 10:19:17",\N
"bini2"," bini-bini ","Malay","VOC_EDITOR","1","2018-04-26 10:21:17",\N
" hutang2"," hutang-hutang ","Malay","VOC_EDITOR","1","2018-04-26 10:21:17",\N
"rm","RM","English","VOC_EDITOR","1","2018-04-26 11:10:36",\N
"kpdnkk "," Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan ","Malay","VOC_EDITOR","1","2018-04-26 11:12:33",\N
" telco","telcommunication","Malay","VOC_EDITOR","1","2018-04-26 11:13:19",\N
"feb"," february","Malay","VOC_EDITOR","1","2018-04-26 11:25:14",\N
" ybrs","Yang Berusaha","Malay","VOC_EDITOR","1","2018-04-26 11:31:30",\N
"+","tambah ","Malay","VOC_EDITOR","1","2018-04-26 11:46:37",\N
"ustad","ustaz ","Malay","VOC_EDITOR","1","2018-04-26 12:01:03",\N
" pas","Parti Islam Se-Malaysia ","Malay","VOC_EDITOR","1","2018-04-26 12:15:52",\N
" bodo","bodoh ","Malay","VOC_EDITOR","1","2018-04-26 12:26:53",\N
" dkt","dekat ","Malay","VOC_EDITOR","1","2018-04-26 12:26:53",\N
" umah","rumah ","Malay","VOC_EDITOR","1","2018-04-26 12:26:53",\N
" merc","mercedes ","Malay","VOC_EDITOR","1","2018-04-26 12:26:53",\N
" kenai","kenal ","Malay","VOC_EDITOR","1","2018-04-26 12:26:53",\N
"papehal","apa-apa hal ","Malay","VOC_EDITOR","1","2018-04-26 14:25:32",\N
" govt","goverment ","Malay","VOC_EDITOR","1","2018-04-26 14:25:32",\N
" pe","apa ","Malay","VOC_EDITOR","1","2018-04-26 14:25:32",\N
" senang2","senang-senang ","Malay","VOC_EDITOR","1","2018-04-26 14:25:32",\N
"mac "," march","Malay","VOC_EDITOR","1","2018-04-26 14:28:55",\N
"mac","march","Malay","VOC_EDITOR","1","2018-04-26 15:01:49",\N
"uae","United Arab Estates","Malay","VOC_EDITOR","1","2018-04-26 15:31:44",\N
"tepek"," tampal ","Malay","VOC_EDITOR","1","2018-04-26 16:10:32",\N
" kat"," dahi ","Malay","VOC_EDITOR","1","2018-04-26 16:10:32",\N
"perangkawan","perangkaan","Malay","VOC_EDITOR","1","2018-04-26 16:48:33",\N
"fama"," federal agricultural marketing authority ","Malay","VOC_EDITOR","1","2018-04-27 09:49:07",\N
" jtdl"," jualan terus dari ladang","Malay","VOC_EDITOR","1","2018-04-27 09:49:07",\N
" dll"," dan lain lain ","Malay","VOC_EDITOR","1","2018-04-27 09:59:07",\N
" umno"," united malays national organisation","Malay","VOC_EDITOR","1","2018-04-27 09:59:07",\N
"saban","setelah","Malay","VOC_EDITOR","1","2018-04-27 10:20:40",\N
"biz","bisnes","Malay","VOC_EDITOR","1","2018-04-27 10:20:40",\N
"cod","cash on delivery","Malay","VOC_EDITOR","1","2018-04-27 10:20:40",\N
"hiv","human immunodeficiency syndrome","Malay","VOC_EDITOR","1","2018-04-27 10:32:16",\N
" taw","tahu","Malay","VOC_EDITOR","1","2018-04-27 10:34:21",\N
"gambaq","gambar","Malay","VOC_EDITOR","1","2018-04-27 10:37:24",\N
"awai","awal","Malay","VOC_EDITOR","1","2018-04-27 10:37:24",\N
"kalut","serabut","Malay","VOC_EDITOR","1","2018-04-27 10:37:24",\N
" parok","parah ","Malay","VOC_EDITOR","1","2018-04-27 10:38:28",\N
" nim","ni ","Malay","VOC_EDITOR","1","2018-04-27 10:38:28",\N
" sy","saya ","Malay","VOC_EDITOR","1","2018-04-27 10:38:28",\N
" lepah","lepas","Malay","VOC_EDITOR","1","2018-04-27 10:38:28",\N
"jab.","jabatan","Malay","VOC_EDITOR","1","2018-04-27 10:39:36",\N
" wanemdibi","1MDB ","Malay","VOC_EDITOR","1","2018-04-27 10:52:21",\N
" hape","apa ","Malay","VOC_EDITOR","1","2018-04-27 10:52:21",\N
"lppkn","Lembaga Penduduk Dan Pembangunan Keluarga Negara ","Malay","VOC_EDITOR","1","2018-04-27 10:52:23",\N
"jr","jalinan rakyat","Malay","VOC_EDITOR","1","2018-04-27 11:03:15",\N
"kawsan","kawasan","Malay","VOC_EDITOR","1","2018-04-27 11:03:15",\N
"nama2","nama-nama","Malay","VOC_EDITOR","1","2018-04-27 11:03:15",\N
"kerjaan","kerajaan","Malay","VOC_EDITOR","1","2018-04-27 11:03:15",\N
" peminpin2","pemimpin-peminpin ","Malay","VOC_EDITOR","1","2018-04-27 11:13:49",\N
"pjg","panjang ","Malay","VOC_EDITOR","1","2018-04-27 11:13:49",\N
